27,Quatz,Operative context-sensitive matrices,Chris,761565.54,2016-08-18,ClosedLost
28,Wordware,Adaptive user-facing hierarchy,Maria,821747.24,2017-01-28,ClosedWon
29,Trunyx,Re-contextualized eco-centric service-desk,Bob,200301.57,2016-11-02,Developing
30,Pixoboo,Enterprise-wide system-worthy productivity,Bill,995153.57,2017-03-21,ClosedWon
31,Realpoint,Adaptive attitude-oriented policy,Bill,726508.25,2016-07-21,Negotiating
32,Yamia,Realigned bandwidth-monitored website,Maria,770962.04,2016-08-21,ClosedWon
33,Janyx,Profound 6th generation website,Olivier,876896.66,2016-10-01,Negotiating
34,Topicware,Ergonomic systemic hardware,Bob,815808.98,2017-03-24,ClosedLost
35,Quatz,User-friendly directional hardware,Olivier,694259.35,2017-02-19,ClosedLost
36,Topiclounge,Decentralized real-time secured line,Olivier,288796.14,2016-12-20,ClosedLost
37,Voomm,Realigned high-level matrix,Maria,92297.46,2016-10-05,ClosedLost
38,Fatz,Mandatory optimizing database,Bill,882734.51,2017-01-09,Developing
39,Shuffledrive,Expanded asynchronous benchmark,Bob,407652.01,2017-03-18,Developing
40,Avamba,Reverse-engineered 24/7 hierarchy,Maria,865455.48,2016-10-29,Negotiating
41,Skajo,Function-based system-worthy implementation,Maria,332339.39,2016-10-25,Prospecting
42,Tagtune,User-centric dedicated forecast,Bob,378177.74,2017-03-26,Developing
43,Agivu,Profound 6th generation function,Bob,147479.42,2016-11-01,ClosedWon
44,Jazzy,Implemented actuating array,Maria,294050.40,2017-03-07,Prospecting
45,Twimbo,Streamlined empowering artificial intelligence,Bill,632151.27,2016-07-04,Prospecting
46,Jaloo,Pre-emptive content-based migration,Maria,976849.37,2016-11-25,ClosedWon
47,Miboo,Assimilated upward-trending task-force,Maria,192415.79,2016-12-25,ClosedLost
48,Oba,Robust directional migration,Olivier,269105.57,2016-12-14,ClosedLost
49,Realblab,Synchronised next generation structure,Maria,52093.04,2016-08-26,Negotiating
50,Thoughtworks,Multi-channelled coherent attitude,Chris,44378.26,2016-08-29,ClosedWon
51,Cogibox,Assimilated tangible frame,Bob,754278.32,2016-11-26,Negotiating
52,Wikivu,Ameliorated executive support,Bob,566869.57,2016-11-26,ClosedLost
53,Browsetype,Digitized tangible website,Maria,794954.90,2016-10-13,Prospecting
54,Realcube,Streamlined secondary software,Bob,517541.26,2016-12-25,ClosedLost
55,Ntag,Profound clear-thinking migration,Bill,585465.46,2016-07-07,Negotiating
56,Rhybox,Multi-tiered content-based array,Olivier,188907.06,2017-03-04,Negotiating
57,Zooveo,Business-focused zero defect product,Bill,434696.25,2016-08-03,ClosedLost
58,Npath,Intuitive interactive leverage,Maria,395190.61,2016-11-10,Developing
59,Skaboo,Optimized executive intranet,Bill,645012.60,2016-07-01,ClosedWon
60,Eimbee,Down-sized static budgetary management,Maria,755115.14,2017-03-29,Developing
61,Wikivu,Intuitive transitional installation,Maria,581691.17,2016-09-08,ClosedLost
62,Voonder,Front-line scalable throughput,Maria,586457.78,2017-02-04,ClosedWon
63,Mymm,Quality-focused optimal alliance,Maria,476866.78,2016-11-26,Negotiating
64,Yombu,Integrated foreground encryption,Bob,536875.51,2017-01-02,ClosedWon
65,Layo,Enterprise-wide uniform task-force,Bill,511535.65,2017-01-21,ClosedLost
66,Rhynoodle,Sharable cohesive workforce,Maria,107250.04,2017-01-16,Prospecting
67,Mynte,Object-based 3rd generation hub,Chris,106703.70,2016-07-28,Developing
68,Cogibox,User-centric neutral application,Bill,767279.37,2017-03-23,Prospecting
69,Trudoo,Up-sized actuating benchmark,Maria,622507.33,2016-11-05,Developing
70,Quaxo,Reverse-engineered static success,Olivier,877229.12,2016-10-18,Prospecting
71,Lazz,Monitored bottom-line customer loyalty,Chris,540070.04,2016-10-06,Negotiating
72,Voonte,Reverse-engineered bottom-line utilisation,Olivier,370188.71,2017-03-12,ClosedWon
73,Mydeo,Profound zero administration functionalities,Olivier,392175.55,2017-01-22,Developing
74,Tambee,Switchable 5th generation array,Chris,572078.65,2017-03-29,ClosedLost
75,Thoughtblab,Sharable eco-centric capacity,Bill,335160.83,2016-07-14,Negotiating
76,Fivechat,Compatible upward-trending workforce,Bob,289749.31,2016-10-16,Prospecting
77,Avamm,Programmable user-facing hub,Chris,699566.86,2016-10-09,ClosedWon
78,Eire,Balanced asynchronous emulation,Maria,419019.32,2017-01-05,Prospecting
79,Topiclounge,Self-enabling multi-state projection,Bob,456563.17,2017-01-04,Prospecting
80,Topdrive,Customizable demand-driven website,Bob,553486.57,2016-09-26,Negotiating
81,Devpoint,Open-source cohesive approach,Bill,81181.30,2016-11-09,ClosedLost
82,Edgewire,Sharable optimal paradigm,Maria,301123.96,2016-10-25,ClosedWon
83,Ailane,Business-focused bandwidth-monitored throughput,Bob,710230.99,2017-02-02,ClosedWon
84,Livetube,Persistent even-keeled capacity,Bill,405724.37,2016-09-06,Negotiating
85,Demimbu,Face to face value-added architecture,Bill,677237.80,2016-08-19,ClosedWon
86,Dabvine,Front-line asynchronous implementation,Olivier,725103.26,2016-09-21,Developing
87,Quatz,Configurable leading edge local area network,Bill,700119.45,2016-09-30,ClosedLost
88,Jabbersphere,Visionary holistic functionalities,Bill,138400.79,2016-12-29,ClosedLost
89,Feedfish,Customizable web-enabled intranet,Bill,531926.14,2016-10-09,ClosedLost
90,Livetube,Realigned value-added core,Bob,426821.48,2016-11-11,ClosedWon
91,Gigazoom,Persevering cohesive Graphic Interface,Bill,976639.91,2017-01-27,ClosedWon
92,Katz,Reactive hybrid open system,Bob,113521.81,2016-10-26,Developing
93,Nlounge,Sharable tangible productivity,Chris,116376.56,2017-02-11,ClosedWon
94,Photobean,Assimilated eco-centric secured line,Bob,338611.42,2016-08-28,ClosedLost
95,Riffwire,Multi-channelled coherent artificial intelligence,Bob,501264.08,2016-11-02,Negotiating
96,Leenti,Decentralized zero tolerance attitude,Bill,808732.73,2016-11-17,Prospecting
97,Wordify,Enterprise-wide reciprocal encryption,Olivier,795963.17,2016-07-01,Negotiating
98,Yakidoo,Open-source logistical interface,Chris,798798.53,2016-08-30,Prospecting
99,Divape,Adaptive optimizing analyzer,Chris,117459.36,2016-12-01,ClosedLost
100,Vimbo,Function-based attitude-oriented matrices,Chris,858592.95,2016-07-17,Prospecting
101,Quire,Networked cohesive internet solution,Bill,665591.07,2016-09-28,Prospecting
102,Browsetype,Multi-lateral 6th generation help-desk,Chris,39194.02,2016-10-19,ClosedWon
103,Tagpad,Distributed mission-critical projection,Chris,767672.04,2016-07-09,ClosedWon
104,Kwilith,Digitized intangible data-warehouse,Bill,849122.78,2016-08-10,ClosedWon
105,Demizz,Grass-roots well-modulated firmware,Bill,852025.58,2016-08-29,ClosedLost
106,Rhyloo,Team-oriented contextually-based core,Maria,239255.89,2017-03-02,ClosedLost
107,Ooba,Digitized holistic time-frame,Bill,88801.69,2016-09-22,ClosedWon
108,Shufflester,Configurable background solution,Chris,845107.84,2017-02-26,Negotiating
109,Shufflebeat,Triple-buffered tangible adapter,Maria,674257.88,2016-08-07,Developing
110,Gabspot,Cross-platform exuding instruction set,Chris,365726.65,2017-01-01,Prospecting
111,Quinu,Horizontal even-keeled solution,Chris,122491.25,2016-08-25,Negotiating
112,Topdrive,Reduced dedicated architecture,Bill,770454.14,2016-07-30,ClosedWon
113,Quatz,Virtual contextually-based matrix,Maria,102292.77,2016-10-07,Prospecting
114,Skynoodle,Virtual 24 hour solution,Maria,133922.05,2017-03-01,ClosedLost
115,Centimia,Persistent user-facing local area network,Olivier,379784.50,2017-03-15,Developing
116,Quimm,Triple-buffered non-volatile hub,Bob,430625.84,2016-11-23,Prospecting
117,Vitz,Public-key empowering system engine,Bill,200743.63,2017-01-29,ClosedWon
118,Thoughtstorm,Organized impactful collaboration,Chris,267194.72,2016-11-01,Negotiating
119,Zoombox,Monitored 5th generation workforce,Olivier,809586.24,2016-10-28,ClosedLost
120,Oodoo,Versatile web-enabled capability,Bob,180195.74,2016-09-23,Developing
121,Abata,De-engineered bi-directional concept,Maria,645098.45,2016-09-10,ClosedWon
122,Blogtag,Configurable demand-driven customer loyalty,Bill,551688.62,2016-11-23,ClosedWon
123,Tagtune,Optional non-volatile analyzer,Bob,344268.71,2017-01-28,Prospecting
124,BlogXS,Cross-group needs-based definition,Maria,563754.11,2016-11-04,Prospecting
125,Skippad,Fully-configurable multi-tasking secured line,Chris,133085.58,2016-08-18,Developing
126,Photofeed,Object-based encompassing function,Bill,553043.87,2016-07-29,ClosedLost
127,Yakitri,Self-enabling multi-state function,Chris,696698.55,2016-08-01,Negotiating
128,Skinix,Digitized intermediate focus group,Olivier,768916.39,2017-01-21,Negotiating
129,Fanoodle,Customizable analyzing matrices,Olivier,403434.36,2016-07-20,ClosedWon
130,Pixonyx,Re-engineered scalable encryption,Maria,584468.01,2017-01-13,Negotiating
131,Leexo,Programmable zero administration instruction set,Bob,960855.25,2016-11-20,ClosedWon
132,Tazz,Secured fault-tolerant customer loyalty,Bill,322566.49,2017-02-04,ClosedLost
133,Wikizz,Operative context-sensitive local area network,Chris,587846.75,2016-10-25,Prospecting
134,Fivespan,Enterprise-wide impactful model,Bob,655988.28,2017-02-12,ClosedWon
135,Brainlounge,Open-architected foreground flexibility,Maria,903834.17,2017-03-08,Developing
136,Edgeblab,Optional scalable budgetary management,Olivier,314413.44,2016-08-13,Prospecting
137,Jayo,Balanced fresh-thinking system engine,Bob,175573.19,2017-02-15,Prospecting
138,Trupe,Synchronised interactive utilisation,Bill,712290.54,2017-01-05,ClosedLost
139,Mydo,Progressive grid-enabled moderator,Chris,784546.64,2017-03-26,Negotiating
140,Ainyx,Multi-lateral exuding matrix,Maria,696730.15,2016-11-13,Developing
141,Jetpulse,Reverse-engineered systematic project,Maria,926576.37,2017-03-01,Developing
142,Youbridge,Balanced mobile help-desk,Chris,263630.22,2016-12-04,ClosedLost
143,Tagfeed,Versatile optimal protocol,Bill,287369.77,2016-09-14,Developing
144,Yozio,Ergonomic composite collaboration,Bill,439350.12,2017-01-19,ClosedLost
145,Nlounge,Visionary maximized groupware,Chris,714948.79,2017-02-21,Developing
146,Mita,Integrated zero tolerance open system,Bill,999764.01,2017-02-08,Negotiating
147,Muxo,Versatile national task-force,Maria,468329.26,2016-10-01,ClosedLost
148,Quimba,Fully-configurable multi-tasking middleware,Chris,479187.48,2017-03-07,Prospecting
149,Dabjam,Face to face analyzing data-warehouse,Bill,536552.36,2016-07-26,ClosedLost
150,Minyx,Extended real-time definition,Olivier,388497.35,2016-11-21,Developing
151,Abatz,Multi-lateral logistical Graphical User Interface,Chris,795424.15,2016-10-19,ClosedLost
152,Wikibox,Team-oriented 6th generation matrices,Olivier,578316.42,2016-12-26,Negotiating
153,Yabox,Configurable value-added flexibility,Maria,850183.94,2016-08-15,ClosedWon
154,Voolia,Open-source dynamic productivity,Bill,647888.22,2016-07-14,Developing
155,Yombu,Horizontal content-based open architecture,Bill,763115.41,2016-07-09,Negotiating
156,Quimba,Open-source 5th generation open system,Chris,931322.02,2017-02-02,Prospecting
157,Zoonder,Public-key 4th generation focus group,Bill,683538.84,2017-02-13,Negotiating
158,Lazz,Up-sized incremental framework,Chris,871824.88,2016-09-26,ClosedWon
159,Topiclounge,Operative holistic middleware,Bob,190366.46,2017-02-23,Developing
160,Tekfly,Ergonomic next generation monitoring,Bill,459795.58,2016-07-27,ClosedLost
161,Linkbridge,Reverse-engineered scalable capability,Chris,638458.55,2016-12-25,Negotiating
162,Kwideo,Public-key reciprocal open architecture,Bill,374245.33,2016-12-22,Prospecting
163,Wikivu,Down-sized grid-enabled emulation,Chris,856223.32,2017-02-15,Negotiating
164,Livepath,Synergized user-facing moratorium,Bob,121297.71,2016-09-21,ClosedWon
165,InnoZ,Public-key homogeneous core,Maria,187509.47,2017-01-21,ClosedWon
166,Skipstorm,Integrated local capability,Bill,151420.86,2016-09-30,ClosedWon
167,Thoughtworks,Focused dynamic throughput,Bill,146086.51,2016-10-04,ClosedWon
168,Oloo,Enhanced multimedia attitude,Maria,220308.99,2016-10-07,Prospecting
169,Edgeblab,Right-sized intermediate middleware,Maria,911310.53,2017-03-21,Prospecting
170,Plajo,Switchable motivating data-warehouse,Maria,767371.92,2016-10-31,Prospecting
171,Skyba,Stand-alone solution-oriented focus group,Bill,902248.02,2016-10-28,Developing
172,Voonyx,Versatile high-level productivity,Maria,131306.15,2016-09-26,Developing
173,Youspan,Profound radical firmware,Bill,978249.39,2016-09-18,Prospecting
174,Fliptune,Organized attitude-oriented capacity,Bill,586016.09,2016-08-06,ClosedLost
175,Dabtype,Multi-lateral real-time analyzer,Bob,434765.61,2016-08-02,ClosedLost
176,Skynoodle,Innovative holistic process improvement,Olivier,123915.92,2017-02-25,Prospecting
177,Gigazoom,Adaptive intangible capability,Bill,671699.51,2017-02-15,ClosedLost
178,Tagopia,Balanced explicit orchestration,Chris,540135.84,2017-02-03,Negotiating
179,Thoughtstorm,Mandatory asynchronous contingency,Olivier,604533.07,2016-10-22,ClosedLost
180,Vidoo,Optional foreground customer loyalty,Bob,661333.24,2016-07-19,Prospecting
181,Yodoo,Operative interactive portal,Chris,610744.46,2016-10-30,ClosedWon
182,Thoughtworks,Object-based zero tolerance flexibility,Bill,327379.34,2016-10-13,ClosedLost
183,Myworks,Fundamental bottom-line system engine,Chris,373394.46,2017-02-20,ClosedWon
184,Skynoodle,Universal intermediate frame,Bob,967466.75,2017-03-13,Developing
185,Skajo,Centralized neutral intranet,Olivier,43932.69,2017-02-22,Prospecting
186,Oyoba,Front-line reciprocal forecast,Bill,847066.57,2016-12-16,ClosedLost
187,Divavu,Reactive bi-directional leverage,Bill,772758.68,2016-07-15,Negotiating
188,Jabbersphere,Progressive dynamic functionalities,Maria,521245.52,2017-03-03,Prospecting
189,Yodel,Right-sized grid-enabled paradigm,Chris,203201.75,2017-02-22,Developing
190,Kare,Sharable system-worthy migration,Olivier,141702.49,2016-12-06,ClosedLost
191,Rhynoodle,Function-based clear-thinking concept,Chris,514114.84,2016-08-27,Developing
192,Wordpedia,Face to face impactful customer loyalty,Olivier,565045.43,2016-11-05,Developing
193,Mybuzz,Multi-tiered 24/7 approach,Bill,644847.78,2016-07-14,ClosedLost
194,Mydeo,Profound logistical extranet,Olivier,161890.00,2016-12-09,ClosedWon
195,Jaxbean,Universal cohesive core,Bill,554594.88,2017-01-06,ClosedWon
196,Jetpulse,Switchable multi-state concept,Chris,32128.59,2016-11-20,Prospecting
197,Trilith,Ameliorated coherent database,Olivier,906217.21,2017-02-01,Developing
198,Zoozzy,Multi-channelled asymmetric encoding,Bob,893629.91,2016-07-08,ClosedWon
199,Meetz,Assimilated systemic methodology,Chris,286531.07,2017-02-09,Negotiating
200,Camido,Re-engineered maximized capability,Maria,440482.77,2017-03-22,Prospecting
201,Skidoo,Triple-buffered upward-trending support,Bill,523295.07,2016-07-01,ClosedWon
202,Jabberstorm,Object-based neutral matrix,Bill,727500.99,2016-12-25,ClosedWon
203,Fivebridge,Vision-oriented value-added capability,Bob,247557.11,2016-08-09,Prospecting
204,Devpulse,Organic uniform archive,Olivier,907975.39,2017-02-20,Prospecting
205,Devify,Optional value-added artificial intelligence,Maria,992118.57,2017-01-05,Prospecting
206,Skyvu,Focused 5th generation intranet,Olivier,780408.49,2017-01-31,ClosedWon
207,Edgewire,Re-contextualized client-server neural-net,Bob,830820.29,2016-10-12,ClosedLost
208,Zoomcast,Face to face holistic groupware,Olivier,931770.57,2017-03-25,Developing
209,Divavu,Devolved bandwidth-monitored capacity,Bill,879965.04,2016-09-09,ClosedWon
210,Mydo,Total next generation capacity,Bob,156128.40,2016-07-18,ClosedLost
211,Feedbug,Reactive web-enabled contingency,Chris,192226.40,2017-01-15,Negotiating
212,Pixope,Automated needs-based strategy,Maria,68233.18,2017-01-06,ClosedLost
213,Eire,Intuitive exuding policy,Olivier,216737.57,2016-10-16,ClosedLost
214,Pixonyx,Fundamental full-range software,Maria,795449.86,2017-03-30,Negotiating
215,Zoozzy,Progressive human-resource complexity,Olivier,202447.61,2017-01-07,Prospecting
216,Meevee,Operative dynamic system engine,Olivier,878182.38,2017-02-04,ClosedLost
217,Wikido,De-engineered foreground structure,Bob,179105.91,2017-02-10,Prospecting
218,Shufflester,Enterprise-wide actuating portal,Bill,49300.40,2017-01-23,Negotiating
219,Photojam,Universal neutral hierarchy,Maria,694954.17,2016-07-11,ClosedWon
220,Voonix,Universal high-level solution,Maria,712448.22,2016-08-09,Negotiating
221,Livetube,Intuitive explicit customer loyalty,Maria,861330.66,2016-08-13,Prospecting
222,Wikizz,Integrated 6th generation project,Olivier,786033.58,2016-12-16,Prospecting
223,Fadeo,Right-sized user-facing access,Bob,123786.65,2017-02-05,ClosedWon
224,Rhycero,Grass-roots 6th generation initiative,Chris,413889.56,2016-09-24,Prospecting
225,Tagfeed,Focused context-sensitive collaboration,Chris,127502.74,2016-07-16,Negotiating
226,Livetube,Fully-configurable fresh-thinking collaboration,Chris,360308.35,2016-07-20,ClosedLost
227,Photofeed,Fully-configurable systemic standardization,Maria,54647.69,2017-02-25,Negotiating
228,Layo,Programmable explicit challenge,Bill,848534.66,2017-02-10,Developing
229,Innotype,Right-sized scalable matrices,Maria,987462.23,2017-02-08,Negotiating
230,Talane,Right-sized impactful migration,Bob,628317.76,2016-10-08,Developing
231,Tekfly,Virtual 3rd generation core,Chris,612636.58,2017-01-05,Developing
232,Zoomdog,Robust secondary customer loyalty,Chris,199532.64,2017-03-07,Negotiating
233,Dabjam,User-friendly zero tolerance strategy,Olivier,938424.55,2016-09-06,ClosedLost
234,Oyoyo,Digitized executive local area network,Maria,638154.96,2016-10-20,Developing
235,Reallinks,Object-based user-facing extranet,Olivier,124752.88,2016-12-02,Prospecting
236,Photobean,Front-line incremental product,Olivier,123093.78,2016-08-30,Negotiating
237,Midel,Optional transitional array,Bob,922851.39,2016-11-02,Negotiating
238,Janyx,User-centric client-server capacity,Maria,115502.68,2016-07-11,ClosedWon
239,Ntags,Switchable multi-tasking budgetary management,Maria,756416.99,2016-09-07,Negotiating
240,Skyba,Decentralized multi-state frame,Chris,925077.11,2017-01-30,Prospecting
241,Eayo,Realigned exuding function,Olivier,172465.68,2017-02-08,Negotiating
242,Photobug,Balanced client-driven architecture,Maria,410475.30,2016-07-01,ClosedLost
243,Brainbox,Balanced foreground superstructure,Bob,598275.73,2016-10-29,Negotiating
244,Twitterworks,Reverse-engineered neutral infrastructure,Bob,702195.10,2016-11-19,ClosedWon
245,Lazzy,Extended optimizing concept,Maria,639955.43,2017-02-22,Developing
246,Eamia,Vision-oriented responsive synergy,Bob,135656.96,2017-02-23,ClosedWon
247,Dabvine,Enterprise-wide incremental structure,Bill,119046.56,2016-09-22,Prospecting
248,Fiveclub,Distributed solution-oriented open architecture,Olivier,610742.10,2016-07-12,Prospecting
249,Zooveo,Total foreground toolset,Olivier,80259.70,2017-02-28,ClosedLost
250,Twitternation,Re-engineered analyzing hierarchy,Bob,193423.63,2016-09-12,Negotiating
251,Katz,Sharable national support,Bob,669372.45,2016-10-24,Prospecting
252,Centizu,User-friendly methodical website,Maria,466914.73,2017-02-03,Negotiating
253,Twitterbeat,Progressive logistical standardization,Chris,580655.41,2017-02-21,Negotiating
254,Skimia,Networked actuating interface,Bob,480794.79,2016-09-30,Prospecting
255,Skalith,Ameliorated background capacity,Olivier,932824.89,2016-08-24,ClosedWon
256,Devcast,Inverse incremental throughput,Chris,884394.62,2016-07-14,ClosedWon
257,Linktype,Reverse-engineered bifurcated product,Bob,652633.91,2017-02-06,Prospecting
258,Mycat,Reactive optimizing software,Chris,892175.00,2017-01-07,Prospecting
259,Dabshots,Multi-channelled exuding hub,Chris,372108.33,2017-03-09,ClosedLost
260,Topicware,Object-based uniform analyzer,Chris,673778.79,2017-03-12,Negotiating
261,Twitterbeat,Progressive optimizing definition,Bill,78287.75,2016-10-15,ClosedWon
262,Dabfeed,Persistent non-volatile workforce,Maria,578788.03,2016-12-15,Developing
263,Agivu,Digitized full-range support,Olivier,60054.20,2016-07-08,Prospecting
264,Dabtype,Intuitive zero administration policy,Maria,276906.67,2017-01-12,Negotiating
265,Kanoodle,Phased interactive workforce,Olivier,69716.60,2017-01-15,Prospecting
266,Linkbridge,Automated 4th generation instruction set,Chris,539977.45,2016-10-07,ClosedWon
267,Geba,Front-line composite groupware,Maria,980471.98,2016-11-13,Negotiating
268,Feedspan,Expanded explicit flexibility,Chris,68714.49,2016-07-11,ClosedLost
269,Quamba,Pre-emptive tangible application,Bob,69958.99,2017-02-23,Prospecting
270,Tagchat,Operative 24/7 website,Maria,822772.28,2016-09-18,Developing
271,Browsecat,Progressive explicit parallelism,Bob,31228.87,2017-03-03,ClosedWon
272,Thoughtworks,Customer-focused even-keeled intranet,Maria,322424.25,2017-01-19,Negotiating
273,Blogspan,Visionary encompassing forecast,Maria,70311.08,2016-12-17,ClosedWon
274,Zoomzone,Programmable optimal concept,Maria,664692.65,2016-12-07,Prospecting
275,Eazzy,Cross-group multi-state instruction set,Chris,665304.42,2016-10-14,Developing
276,Midel,Secured leading edge synergy,Bob,750392.20,2017-03-06,Negotiating
277,Demivee,Cross-platform asynchronous leverage,Olivier,242912.07,2016-11-25,Developing
278,Quaxo,Monitored intermediate portal,Maria,828914.62,2017-03-07,ClosedWon
279,Skynoodle,Public-key regional system engine,Olivier,379743.73,2016-10-15,Negotiating
280,Twitterlist,Versatile solution-oriented structure,Bob,81257.86,2016-10-07,ClosedLost
281,Roombo,Implemented neutral parallelism,Olivier,710167.75,2016-10-23,Negotiating
282,Topicstorm,Automated dedicated circuit,Olivier,441420.81,2016-12-29,Developing
283,Twimbo,Optimized demand-driven utilisation,Chris,728819.80,2016-12-23,Negotiating
284,Geba,Adaptive content-based groupware,Maria,218914.25,2016-07-27,Negotiating
285,Realmix,Configurable systematic alliance,Bill,865748.12,2016-11-06,Developing
286,Feedspan,Optimized client-server frame,Maria,802811.39,2016-10-16,Negotiating
287,Riffwire,Multi-channelled modular success,Chris,726696.81,2017-02-24,Negotiating
288,Yakitri,Upgradable disintermediate solution,Chris,997186.13,2017-01-28,Negotiating
289,Topiclounge,Progressive bottom-line toolset,Olivier,205690.29,2016-11-27,ClosedWon
290,Oyonder,Inverse executive budgetary management,Chris,449158.78,2017-03-14,Developing
291,Buzzster,Exclusive radical contingency,Chris,403804.78,2017-01-10,Prospecting
292,Dabfeed,Cloned dynamic capacity,Bill,30843.87,2016-09-17,ClosedWon
293,Dabvine,Assimilated 24/7 artificial intelligence,Bill,942198.19,2017-02-27,ClosedLost
294,Youfeed,Extended static strategy,Bill,747759.52,2016-12-27,ClosedWon
295,Yotz,Upgradable multi-tasking instruction set,Bill,356286.75,2016-09-14,Developing
296,Oyondu,Realigned interactive migration,Maria,487437.36,2016-10-21,Prospecting
297,JumpXS,Focused cohesive open architecture,Chris,286189.83,2016-09-14,Prospecting
298,Jabberstorm,Advanced 4th generation utilisation,Maria,905607.42,2016-09-03,ClosedWon
299,Jaxworks,Front-line well-modulated productivity,Olivier,500670.12,2017-02-06,ClosedWon
300,Gigashots,Streamlined attitude-oriented contingency,Olivier,521124.41,2016-08-22,Developing
301,Vimbo,Re-engineered object-oriented data-warehouse,Bob,899391.70,2016-08-21,ClosedWon
302,Oyoyo,Devolved optimizing functionalities,Bill,677858.28,2016-11-15,ClosedWon
303,Youspan,Programmable non-volatile capacity,Bill,610033.50,2016-12-10,Developing
304,Thoughtstorm,Focused content-based matrix,Olivier,493073.95,2016-12-23,Negotiating
305,Linklinks,Innovative well-modulated strategy,Olivier,144745.38,2016-07-01,Prospecting
306,Meemm,Operative holistic policy,Bill,587429.50,2016-10-23,Developing
307,Oloo,Adaptive 24 hour implementation,Chris,215073.29,2016-08-11,ClosedWon
308,Twitterbeat,Adaptive fault-tolerant hub,Maria,15819.22,2016-11-21,Prospecting
309,Eimbee,Re-engineered systematic attitude,Bill,225635.77,2017-01-30,Developing
310,Zoombox,Quality-focused multi-state secured line,Bill,908094.39,2016-07-10,ClosedLost
311,Browsetype,Horizontal client-server initiative,Chris,753670.77,2016-12-10,Negotiating
312,Jabberbean,Multi-lateral bottom-line toolset,Bob,366934.79,2017-01-13,Prospecting
313,Lazzy,Managed neutral structure,Bill,491608.20,2016-12-17,Negotiating
314,Feedspan,Fundamental composite matrix,Bob,304084.37,2017-03-20,ClosedWon
315,Shuffletag,Polarised clear-thinking solution,Bill,79265.79,2017-02-14,Prospecting
316,Cogibox,Re-engineered 6th generation solution,Bob,513270.81,2016-08-06,Prospecting
317,Youspan,User-centric bi-directional adapter,Maria,374511.06,2017-01-18,Prospecting
318,Twitternation,Adaptive impactful website,Chris,229050.31,2016-12-09,ClosedWon
319,Photolist,Synchronised dynamic architecture,Maria,186222.17,2016-08-10,ClosedLost
320,Lazz,Organic homogeneous strategy,Chris,982020.57,2016-08-25,ClosedLost
321,Vidoo,Face to face 24/7 array,Bob,577978.20,2017-02-11,Negotiating
322,Ainyx,Virtual attitude-oriented model,Maria,692026.24,2016-12-13,ClosedWon
323,Mydeo,Exclusive heuristic challenge,Maria,330263.09,2016-11-15,ClosedWon
324,Youfeed,Multi-layered incremental toolset,Bill,580632.05,2016-07-27,Developing
325,Photobug,Re-engineered next generation help-desk,Maria,955933.48,2016-11-15,Negotiating
326,Plambee,Enterprise-wide full-range contingency,Chris,759481.40,2016-12-16,ClosedWon
327,Jazzy,Implemented optimizing matrix,Bob,640491.49,2017-01-08,Prospecting
